id_busca,nome,hidden_layers,dropout,learning_rate,batch_size,patience,fold,n_train,n_val,train_start,train_end,val_start,val_end,rmse_delta_lon,rmse_delta_lat,rmse_medio,mae_delta_lon,mae_delta_lat,mae_medio,r2_delta_lon,r2_delta_lat,best_epoch,best_val_loss_scaled
9,2camadas_16-16_drop0.0_lr0.001_batch32,"[16, 16]",0.0,0.001,32,15,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.202526439245278,0.17449920716789863,0.1885128232065883,0.14644892885820324,0.12467327585167892,0.13556110235494107,0.16002008728240136,0.03801300665631169,29,0.886883027098152
9,2camadas_16-16_drop0.0_lr0.001_batch32,"[16, 16]",0.0,0.001,32,15,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.18778021471809203,0.12505315648935797,0.15641668560372501,0.1317538310247471,0.08679811354830554,0.10927597228652633,0.07248176698932307,0.3230285663305309,27,0.6075759045370333
9,2camadas_16-16_drop0.0_lr0.001_batch32,"[16, 16]",0.0,0.001,32,15,3,522,194,2011-06-07 01:00:00,2011-06-17 09:00:00,2011-06-17 10:00:00,2011-06-20 12:00:00,0.16884378802882652,0.17398660533780574,0.17141519668331612,0.12534613512536877,0.12136418436689461,0.12335515974613169,-0.05633194238031858,0.14269864900621598,10,0.8133391615041753
9,2camadas_16-16_drop0.0_lr0.001_batch32,"[16, 16]",0.0,0.001,32,15,4,732,121,2011-06-07 01:00:00,2011-06-20 12:00:00,2011-06-20 13:00:00,2011-06-24 17:00:00,0.1577929666793,0.13239942781034048,0.14509619724482026,0.11878483725617331,0.10074953665388693,0.10976718695503013,0.001841212184784724,0.29227737115984775,21,0.5918840455614831
10,2camadas_32-32_drop0.2_lr0.0005_batch128,"[32, 32]",0.2,0.0005,128,15,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.2049527735064699,0.1775358904127494,0.19124433195960966,0.14773949518284912,0.12634197884131518,0.13704073701208214,0.13977304753948705,0.004240154288931874,93,0.9124935048349788
10,2camadas_32-32_drop0.2_lr0.0005_batch128,"[32, 32]",0.2,0.0005,128,15,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.18534490354156663,0.12846499943427148,0.15690495148791905,0.13240813454056494,0.08963303320203246,0.1110205838712987,0.09638362934288425,0.28558483460743356,56,0.6094575760128734
10,2camadas_32-32_drop0.2_lr0.0005_batch128,"[32, 32]",0.2,0.0005,128,15,3,522,194,2011-06-07 01:00:00,2011-06-17 09:00:00,2011-06-17 10:00:00,2011-06-20 12:00:00,0.16437455050035055,0.17369618017320926,0.1690353653367799,0.1178434472939988,0.12028449985059317,0.11906397357229598,-0.0011505607618067515,0.1455583413416769,71,0.7941259305501721
10,2camadas_32-32_drop0.2_lr0.0005_batch128,"[32, 32]",0.2,0.0005,128,15,4,732,121,2011-06-07 01:00:00,2011-06-20 12:00:00,2011-06-20 13:00:00,2011-06-24 17:00:00,0.1513639336241542,0.1363529587459916,0.1438584461850729,0.11479873214179134,0.10436713842196449,0.10958293528187792,0.08152114417780187,0.24938023132880038,30,0.582509458065033
11,2camadas_64-64_drop0.0_lr0.001_batch32,"[64, 64]",0.0,0.001,32,20,1,154,178,2011-06-07 01:00:00,2011-06-10 11:00:00,2011-06-10 12:00:00,2011-06-13 17:00:00,0.20449283483941164,0.1819863867467989,0.19323961079310525,0.14961990586770807,0.128565958784485,0.13909293232609654,0.14362962079972386,-0.04630930767575148,21,0.930402806635653
11,2camadas_64-64_drop0.0_lr0.001_batch32,"[64, 64]",0.0,0.001,32,20,2,334,182,2011-06-07 01:00:00,2011-06-13 17:00:00,2011-06-14 02:00:00,2011-06-17 09:00:00,0.18562340475170944,0.13143819756446948,0.15853080115808946,0.13185153658092513,0.08973958864394026,0.1107955626124327,0.09366602211338759,0.25213326510428513,7,0.6212927659789285
